Results_Name,VSPAERO_History
Results_Timestamp,1723271121
Results_Date,8,10,2024
Results_Time,11,55,21
FC_Mach_,2.000000000000000111e-01
FC_Pitch_Rate,0.000000000000000000e+00
FC_ReCref_,1.000000000000000000e+07
FC_Rho_,1.120000000000000107e+00
FC_Roll__Rate,0.000000000000000000e+00
FC_Sref_,4.280812500000000114e+02
FC_Vinf_,8.320512800000000198e+01
FC_Xcg_,2.467547599999999974e+01
FC_Yaw___Rate,0.000000000000000000e+00
FC_Ycg_,0.000000000000000000e+00
FC_Zcg_,-4.697799999999999893e-02
L/D,3.938985178382000019e+00,4.117391488250000009e+00,4.061087755834000390e+00,3.970890400961000211e+00,3.921138636124000154e+00,3.993908610315000107e+00,4.070582309475000216e+00,4.041545712678000335e+00
Mach,2.000000000000000111e-01,2.000000000000000111e-01,2.000000000000000111e-01,2.000000000000000111e-01,2.000000000000000111e-01,2.000000000000000111e-01,2.000000000000000111e-01,2.000000000000000111e-01
T/QS,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
WakeIter,1,2,3,4,5,6,7,8
Results_Name,VSPAERO_History
Results_Timestamp,1723271121
Results_Date,8,10,2024
Results_Time,11,55,21
Alpha,-4.512195000000000178e+00,-4.512195000000000178e+00,-4.512195000000000178e+00,-4.512195000000000178e+00,-4.512195000000000178e+00,-4.512195000000000178e+00,-4.512195000000000178e+00,-4.512195000000000178e+00
AnalysisMethod,0
Beta,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
CDi,6.521790662000000356e-03,6.170325857999999983e-03,6.296953289999999807e-03,6.446452856999999696e-03,6.324268422999999688e-03,6.226283889000000342e-03,6.123832893999999957e-03,6.145366347000000111e-03
CDo,1.010713030099999986e-02,1.009114747499999937e-02,1.009980695100000034e-02,1.010858434599999980e-02,1.010754210199999933e-02,1.010221388400000045e-02,1.009964029600000056e-02,1.010437882300000041e-02
CDt,8.061168056000000276e-03,6.471379775999999695e-03,6.220168941999999583e-03,6.521756844000000178e-03,6.780863326000000253e-03,6.771052615000000205e-03,6.394722069000000411e-03,6.341022854000000035e-03
CDtot,1.662892096300000108e-02,1.626147333300000108e-02,1.639676024100000101e-02,1.655503720300000037e-02,1.643181052499999989e-02,1.632849777300000166e-02,1.622347319000000052e-02,1.624974516999999966e-02
CDtott,1.816829835699999840e-02,1.656252725099999906e-02,1.631997589300000079e-02,1.663034119100000041e-02,1.688840542700000003e-02,1.687326650000000108e-02,1.649436236500000097e-02,1.644540167699999958e-02
CFx,2.553978343599999992e-02,2.534850248899999867e-02,2.550285096200000101e-02,2.557861865900000128e-02,2.537949308799999915e-02,2.535845022199999937e-02,2.532368399300000128e-02,2.534982347099999991e-02
CFxi,1.544419464899999921e-02,1.526855803000000053e-02,1.541431969899999949e-02,1.548128505200000067e-02,1.528304972000000053e-02,1.526727328400000021e-02,1.523508842000000085e-02,1.525658846500000006e-02
CFxo,1.009558878700000072e-02,1.007994445899999987e-02,1.008853126299999979e-02,1.009733360600000018e-02,1.009644336800000035e-02,1.009117693799999917e-02,1.008859557200000000e-02,1.009323500599999986e-02
CFy,2.037693579999999994e-04,1.886114090000000061e-04,2.142452129999999953e-04,2.768601469999999840e-04,-6.015868900000000043e-05,-8.145330900000000629e-05,-2.020720940000000031e-04,-2.643238700000000033e-04
CFyi,2.021522559999999920e-04,1.880278610000000095e-04,2.139127310000000007e-04,2.767566660000000131e-04,-6.032407400000000292e-05,-8.133579899999999867e-05,-2.023801649999999882e-04,-2.644479179999999750e-04
